"skill","status","domain","use_case","tier","recommended_action","target_or_merge","reason"
"qdrant-clients-sdk","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"qdrant-deployment-options","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"qdrant-model-migration","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"qdrant-monitoring","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"qdrant-performance-optimization","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"qdrant-scaling","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"qdrant-search-quality","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"qdrant-version-upgrade","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"quality-playbook","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"quasi-coder","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"react-audit-grep-patterns","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"react-best-practices","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"react-native-skills","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"react-view-transitions","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"react18-batching-patterns","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"react18-dep-compatibility","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"react18-enzyme-to-rtl","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"react18-legacy-context","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"react18-lifecycle-patterns","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"react18-string-refs","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"react19-concurrent-patterns","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"react19-source-patterns","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"react19-test-patterns","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"readme-blueprint-generator","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"refactor","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Merge","refactor-safely","Core refactor guidance centralized in safer, behavior-preserving skill"
"refactor-method-complexity-reduce","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"refactor-plan","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"refactor-safely","active","general-misc","General-purpose or uncategorized development assistance","Core","Keep active","","Useful and currently available"
"remember","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"remember-interactive-programming","active","general-misc","General-purpose or uncategorized development assistance","Experimental","Keep active (opt-in)","","Retain but gate by explicit opt-in usage"
"repo-story-time","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"review-and-refactor","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Merge","review-pull-request + refactor-safely","Cross-over guidance split into dedicated review and refactor skills"
"review-pull-request","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Core","Keep active","","Useful and currently available"
"reviewing-oracle-to-postgres-migration","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"roundup","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"roundup-setup","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive (already)","_archive/skills","Already moved to archive"
"ruby-mcp-server-generator","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"ruff-recursive-fix","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"rust-mcp-server-generator","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"salesforce-apex-quality","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"salesforce-component-standards","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"salesforce-flow-design","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"sandbox-npm-install","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"scaffolding-oracle-to-postgres-migration-test-project","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"scoutqa-test","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"secret-scanning","active","scm-collaboration","Git/GitHub workflows, PRs, repo governance","Optional","Keep active","","Useful and currently available"
"security-review","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"semantic-kernel","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"shuffle-json-data","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"snowflake-semanticview","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"sponsor-finder","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"spring-boot-testing","active","qa-testing","Test generation, validation and failure diagnosis","Optional","Keep active","","Useful and currently available"
"sql-code-review","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"sql-optimization","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"structured-autonomy-generate","active","general-misc","General-purpose or uncategorized development assistance","Experimental","Keep active (opt-in)","","Retain but gate by explicit opt-in usage"
"structured-autonomy-implement","active","general-misc","General-purpose or uncategorized development assistance","Experimental","Keep active (opt-in)","","Retain but gate by explicit opt-in usage"
"structured-autonomy-plan","active","general-misc","General-purpose or uncategorized development assistance","Experimental","Keep active (opt-in)","","Retain but gate by explicit opt-in usage"
"suggest-awesome-github-copilot-agents","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"suggest-awesome-github-copilot-instructions","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"suggest-awesome-github-copilot-skills","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"supabase","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"swift-mcp-server-generator","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"technology-stack-blueprint-generator","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"terraform-azurerm-set-diff-analyzer","active","ops-infra","DevOps, infra operations, deployment and system triage","Optional","Keep active","","Useful and currently available"
"threat-model-analyst","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"tldr-prompt","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"transloadit-media-processing","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"typescript-mcp-server-generator","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"typespec-api-operations","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"typespec-create-agent","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"typespec-create-api-plugin","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"unit-test-vue-pinia","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"update-avm-modules-in-bicep","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"update-implementation-plan","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"update-llms","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"update-markdown-file-index","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"update-specification","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"vercel-cli-with-tokens","active","ops-infra","DevOps, infra operations, deployment and system triage","Optional","Keep active","","Useful and currently available"
"vscode-ext-commands","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"vscode-ext-localization","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"vue-best-practices","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Core","Keep active","","Useful and currently available"
"web-coder","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Optional","Keep active","","Useful and currently available"
"web-design-guidelines","active","design-visual","UI design systems, diagrams and visual communication","Optional","Keep active","","Useful and currently available"
"web-design-reviewer","active","design-visual","UI design systems, diagrams and visual communication","Optional","Keep active","","Useful and currently available"
"webapp-testing","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"what-context-needed","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"winapp-cli","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"winmd-api-search","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"winui3-migration-guide","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"workiq-copilot","active","enterprise-platforms","Power Platform, Salesforce, Dataverse, enterprise workflows","Optional","Keep active","","Useful and currently available"
"write-coding-standards-from-file","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
